id,task_name,task_type,task_location,assigned_employee_id,start_date,end_date,days_count,hours_per_day,total_hours,source,status,is_cross_factory,request_factory,required_skills,notes,created_at,updated_at,time_slot
02b2aab3-e870-4435-a544-1c8bf2820a95,1234,meeting,FDCCh,1c126e0f-a118-4a00-b983-fef36df9e86c,2025-12-23,2025-12-23,1,8.0,3.5,manual,active,,,,,2025-12-23 07:25:04.504575+00,2025-12-23 07:25:04.504575+00,AM
2c7e9296-dec4-4150-95f3-f354b96aea6d,test1,meeting,FDCCh,a8473055-87c4-41ab-a306-9dd3a6e2fae5,2026-01-05,2026-01-09,5,8.0,40.0,manual,active,,,,,2026-01-04 05:11:58.76644+00,2026-01-04 05:11:58.76644+00,FULL_DAY
396fbd89-cb0b-415b-a8a7-fd9e0cca4c9c,Task2025122414421234567890,coaching,HA,1c126e0f-a118-4a00-b983-fef36df9e86c,2026-01-14,2026-01-14,1,8.0,4.5,manual,active,,,,,2025-12-24 06:43:08.047146+00,2025-12-24 06:43:08.047146+00,PM
3fad96b9-4486-48dd-b28d-ef0350f385bf,Task20251224003,training,FEDNa,a8473055-87c4-41ab-a306-9dd3a6e2fae5,2026-01-12,2026-01-12,1,8.0,4.5,manual,active,,,,,2025-12-24 07:57:16.254654+00,2025-12-24 07:57:16.254654+00,PM
4e66235b-311f-446d-aaea-0afbcc137dd8,Task2,project,FLCCh,1c126e0f-a118-4a00-b983-fef36df9e86c,2025-12-25,2025-12-25,1,8.0,3.5,manual,active,,,,,2025-12-23 07:55:49.793452+00,2025-12-23 07:55:49.793452+00,AM
505b58de-c092-4a97-bd91-5c4e348ccbf2,test10,coaching,FDCCh,dbbcddfa-d223-4b15-9b22-a4db81272216,2026-01-19,2026-01-19,1,8.0,8.0,manual,active,,,,,2026-01-15 08:33:58.938459+00,2026-01-15 08:33:58.938459+00,FULL_DAY
59361280-62d7-4343-8489-40ae68342254,Task202512241441,project,GPU-SU,dbbcddfa-d223-4b15-9b22-a4db81272216,2026-01-13,2026-01-13,1,8.0,3.5,manual,active,,,,,2025-12-24 06:42:08.326382+00,2025-12-24 06:42:08.326382+00,AM
5c5b0a1d-079a-419c-a93e-8a589e93db2a,kyberon,workshop,FDCCh,2c1769ec-018d-46e5-a052-78351dc59866,2026-01-16,2026-01-16,1,8.0,4.5,manual,active,,,,,2026-01-15 08:05:47.211067+00,2026-01-15 08:05:47.211067+00,PM
76ee67d4-c09a-49ae-95ad-b9c15fc1b0e8,Task1_Updated,meeting,FCLCh,58dc9e12-c4c5-47dc-b3a2-84da54a8c420,2025-12-23,2025-12-23,1,8.0,3.5,manual,active,,,,,2025-12-23 07:41:22.693025+00,2025-12-23 07:41:22.693025+00,AM
88495ee8-dd77-48fd-999c-187eb91bbb98,1234,meeting,FDCCh,1c126e0f-a118-4a00-b983-fef36df9e86c,2025-12-23,2025-12-23,1,8.0,3.5,manual,active,,,,,2025-12-23 07:25:13.239008+00,2025-12-23 07:25:13.239008+00,AM
be38c978-c307-45ba-bc5b-07f60a52b77f,Task2,speed_week,FDCCh,c43999b4-b8e0-488c-93e4-cdb250a8371b,2026-01-05,2026-01-09,5,8.0,40.0,manual,active,,,,,2025-12-23 07:42:37.168968+00,2025-12-23 07:42:37.168968+00,FULL_DAY
c762fbb5-024b-4057-a69f-9f4da97a8366,Task1,coaching,FDCCh,d1dfbfb9-be80-4387-9354-d7300d33c67f,2025-12-24,2025-12-24,1,8.0,8.0,manual,active,,,,,2025-12-23 07:45:56.36731+00,2025-12-23 07:45:56.36731+00,FULL_DAY
cbeebffc-6321-4fce-a914-ae8ee220c5d4,test1,meeting,FDCCh,c43999b4-b8e0-488c-93e4-cdb250a8371b,2026-01-15,2026-01-15,1,8.0,8.0,manual,active,,,,,2026-01-15 08:33:20.061989+00,2026-01-15 08:33:20.061989+00,FULL_DAY
d2858296-4cf3-4de6-b7ca-18e07fe8a9da,tets6,leave,FEDNa,a5a8f91e-db90-47e6-a3bf-23df178facde,2026-01-21,2026-01-21,1,8.0,3.5,manual,active,,,,,2026-01-04 05:12:40.772665+00,2026-01-04 05:12:40.772665+00,AM
f4afeb5a-8622-4aba-ae8d-d3dc5cdcc1e7,123,speed_week,FCLCh,e13482df-ea57-4e1a-8d76-120b0b8f6c91,2025-11-26,2025-11-28,,8.0,,manual,active,,,,,2025-11-27 01:07:17.006995+00,2025-11-27 01:07:17.006995+00,FULL_DAY
